tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
72,20,17.4961,13.4148,11.8008,4.00863,2.14959,0.574518,2.58091,3.58727,1.43036,3.36343,370.597,4.50274,1.75494,4.08693,2.14312,0.786048,1.5374
73,20,3.9717,6.31176,20.7339,5.36308,10.3596,5.31439,1.89442,4.52269,2.46767,3.31204,366.175,2.96322,2.61621,3.33416,0.857043,1.35544,1.81349
74,20,12.7439,14.805,15.2246,5.08805,7.57738,7.02977,7.87908,4.01523,1.71828,6.41176,372.1,3.96773,2.04049,5.90736,3.31304,3.40779,2.11802
75,20,1.27332,26.4585,6.25744,13.0439,7.47665,2.2045,2.95475,3.05726,2.97686,2.67749,335.274,1.66776,2.83674,1.92162,1.05486,1.75232,1.17378
76,2,5.29949,39.413,11.9535,20.5946,20.8086,5.70787,19.9558,0.676346,10.9448,5.97744,25.7597,0.91646,3.34272,0.256191,0.949733,1.2618,0.941661
77,22,0.490308,18.3773,4.23488,3.60858,4.61744,1.35012,3.04238,2.18473,1.73166,5.19128,1.88456,366.004,1.9034,5.15349,0.451073,2.2616,0.371435
78,22,8.71375,42.3642,7.10573,4.49994,1.34863,1.01343,1.30608,1.69073,0.587152,1.36983,2.10828,378.834,2.12047,1.50468,0.515171,1.35868,0.276781
79,22,5.70789,7.79156,3.7666,1.73929,2.72153,1.33132,1.29994,1.64686,1.01851,3.46957,3.17453,370.613,3.10157,8.04861,0.66538,1.40416,0.65784
80,22,18.4123,11.5947,15.2399,1.54241,7.54033,1.1472,0.588005,6.0073,1.38081,9.76846,4.46217,369.561,1.57758,16.7199,1.50614,1.3683,0.855487
81,22,9.52008,13.6526,9.78495,2.91465,2.36991,1.92582,0.99385,3.449,1.42218,4.7331,2.34146,355.453,1.48477,6.81211,1.31798,1.53866,0.470389
82,22,6.9591,24.3476,1.37479,3.08425,2.5131,1.70173,1.3065,2.21306,0.906512,6.06832,1.37368,342.866,1.33192,6.14369,0.772343,2.17922,0.492977
83,22,14.1963,15.3841,4.11705,5.70062,4.89613,5.64604,6.94469,2.31722,3.86536,11.1555,4.99401,324.515,4.15822,8.86606,2.02326,3.31409,3.70718
84,2,11.8178,39.9996,7.49847,27.3572,33.6757,22.5914,6.77309,4.15639,2.38784,2.55872,3.29132,14.4695,4.59194,4.35539,2.74617,1.45164,1.448
85,24,21.1979,17.5255,7.68337,7.21019,5.63079,10.3252,6.8803,8.1402,5.95001,4.38308,2.99939,4.42849,317.727,3.60541,3.96482,0.654108,1.3011
86,24,5.79052,29.2166,24.7827,14.1335,3.52376,1.98054,5.79732,3.62298,3.45887,2.73696,2.20598,1.32015,361.215,1.85927,5.57077,1.10997,0.809593
87,24,17.5688,21.0426,8.40069,21.1808,2.6648,1.4878,2.66691,1.99832,3.01491,1.98787,1.60294,1.60225,354.487,1.59902,2.39174,3.21612,0.586246
88,24,0.734347,7.46804,14.9725,5.38112,3.33786,9.32549,5.36621,6.71361,2.42578,6.87083,1.55353,2.61796,372.481,3.29646,1.24721,8.21535,0.771928
89,24,4.05955,22.4573,6.37031,5.82145,3.52208,2.99632,3.96708,3.65692,2.89367,3.96877,2.13796,1.98847,352.79,1.78506,2.98129,6.35397,2.47259
90,24,9.79115,42.506,3.6813,6.31838,3.21044,0.874586,5.48888,1.61289,6.13827,1.61202,3.41449,1.31356,349.227,1.30174,6.71624,0.495009,0.800769
91,24,7.92215,2.20408,4.80219,7.94639,3.22001,0.84684,3.78158,0.505522,4.15228,1.32809,7.13584,1.46194,324.246,1.72758,6.33621,1.66799,2.21292
